,year,oid,is_buffer,treatment_type,project_type,area,mean_esi_pre,mean_esi_post,mean_et_pre,mean_et_post,mean_wue_pre,mean_wue_post,mean_lst_eco_pre,mean_lst_eco_post,mean_lst_modis_pre,mean_lst_modis_post,total_pixels_modis,non-fire_pre,non-fire_post,fire_low_pre,fire_low_post,fire_nominal_pre,fire_nominal_post,fire_high_pre,fire_high_post,total_days_modis_pre,total_days_modis_post
11,2015,0085,Treatment,Physical,Defensible Space,8693.968345833138,,,,,,,,,,,2,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
12,2015,0085,Buffer,Physical,Defensible Space,8693.968345833138,,,,,,,,,,,7,140.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
13,2015,0089,Treatment,Physical,"Medium Thin, Pile Slash",6101.261125900472,,,,,,,,,,,4,80.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
14,2015,0089,Buffer,Physical,"Medium Thin, Pile Slash",6101.261125900472,,,,,,,,,,,9,180.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
15,2015,0097,Treatment,Physical,"Thin, Chip",33582.8960249262,,,,,,,,,,,4,80.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
16,2015,0097,Buffer,Physical,"Thin, Chip",33582.8960249262,,,,,,,,,,,5,100.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
17,2015,0098,Treatment,Physical,"Thin, Haul/Pile Slash",38490.70051297465,,,,,,,,,,,3,60.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
18,2015,0098,Buffer,Physical,"Thin, Haul/Pile Slash",38490.70051297465,,,,,,,,,,,9,180.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
19,2015,0105,Treatment,Physical,"Medium Thin, Pile",8661.428245054165,,,,,,,,,,,2,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
20,2015,0105,Buffer,Physical,"Medium Thin, Pile",8661.428245054165,,,,,,,,,,,10,200.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
21,2015,0121,Treatment,Physical,"Thin, Lop And Scatter",42000.61820803791,,,,,,,,,,,6,120.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
22,2015,0121,Buffer,Physical,"Thin, Lop And Scatter",42000.61820803791,,,,,,,,,,,5,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0
23,2015,0136,Treatment,Physical,Thinning Thru Mastication,50822.86218223233,,,,,,,,,,,2,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
24,2015,0136,Buffer,Physical,Thinning Thru Mastication,50822.86218223233,,,,,,,,,,,7,140.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
25,2015,0161,Treatment,Physical,Thinning,35982.32276126131,,,,,,,,,,,1,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
26,2015,0161,Buffer,Physical,Thinning,35982.32276126131,,,,,,,,,,,8,160.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
28,2015,0168,Treatment,Physical,"Heavy Thin, Pile Slash",14212.083430438526,,,,,,,,,,,2,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
29,2015,0168,Buffer,Physical,"Heavy Thin, Pile Slash",14212.083430438526,,,,,,,,,,,5,100.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
30,2015,0171,Treatment,Physical,"Thin, Pile Slash",6987.191155585067,,,,,,,,,,,1,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
31,2015,0171,Buffer,Physical,"Thin, Pile Slash",6987.191155585067,,,,,,,,,,,5,100.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
32,2015,0173,Treatment,Physical,"Medium Thin, Chip",9406.353825530006,,,,,,,,,,,2,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
33,2015,0173,Buffer,Physical,"Medium Thin, Chip",9406.353825530006,,,,,,,,,,,5,100.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
35,2015,0175,Treatment,Physical,"Thin, Pile Slash",27752.7260930488,,,,,,,,,,,1,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
36,2015,0175,Buffer,Physical,"Thin, Pile Slash",27752.7260930488,,,,,,,,,,,7,140.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
37,2015,0187,Treatment,Physical,"Selective Thinning, Lop And Scatter Slash",187942.51037287223,,,,,,,,,,,1,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
38,2015,0187,Buffer,Physical,"Selective Thinning, Lop And Scatter Slash",187942.51037287223,,,,,,,,,,,6,120.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
39,2015,0202,Treatment,Physical,Mastication Meadow Restoration,106587.8538160115,,,,,,,,,,,2,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
40,2015,0202,Buffer,Physical,Mastication Meadow Restoration,106587.8538160115,,,,,,,,,,,6,120.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
41,2015,0205,Treatment,Physical,Mastication Meadow Restoration,15756.36042978322,,,,,,,,,,,2,40.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
42,2015,0205,Buffer,Physical,Mastication Meadow Restoration,15756.36042978322,,,,,,,,,,,6,120.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
43,2015,0211,Treatment,Physical,Mastication Meadow Restoration,149284.81295251846,,,,,,,,,,,2,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
44,2015,0211,Buffer,Physical,Mastication Meadow Restoration,149284.81295251846,,,,,,,,,,,5,100.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
45,2015,0213,Treatment,Physical,Mastication Meadow Restoration,15933.65803592986,,,,,,,,,,,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
46,2015,0213,Buffer,Physical,Mastication Meadow Restoration,15933.65803592986,,,,,,,,,,,5,100.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
47,2015,0220,Treatment,Physical,Mastication Thinning Clumping,133127.9914475796,,,,,,,,,,,1,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
48,2015,0220,Buffer,Physical,Mastication Thinning Clumping,133127.9914475796,,,,,,,,,,,4,80.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
49,2015,0221,Treatment,Physical,Mastication Meadow Restoration,92637.7380251762,,,,,,,,,,,2,40.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
50,2015,0221,Buffer,Physical,Mastication Meadow Restoration,92637.7380251762,,,,,,,,,,,6,120.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
51,2015,0222,Treatment,Physical,Mastication Thinning Clumping,191840.10628629223,,,,,,,,,,,2,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
52,2015,0222,Buffer,Physical,Mastication Thinning Clumping,191840.10628629223,,,,,,,,,,,5,100.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
53,2015,0252,Treatment,Physical,Heavy Thinning With Mastication,47664.76524868893,,,,,,,,,,,1,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
54,2015,0252,Buffer,Physical,Heavy Thinning With Mastication,47664.76524868893,,,,,,,,,,,5,100.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
55,2015,0283,Treatment,Physical,Thinning,1248.3274184028107,,,,,,,,,,,1,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
56,2015,0283,Buffer,Physical,Thinning,1248.3274184028107,,,,,,,,,,,6,120.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
57,2015,0286,Treatment,Physical,Thinning,73781.52828389462,,,,,,,,,,,2,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
58,2015,0286,Buffer,Physical,Thinning,73781.52828389462,,,,,,,,,,,6,120.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
59,2015,0295,Treatment,Physical,Thinning,392.23619594237886,,,,,,,,,,,2,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
60,2015,0295,Buffer,Physical,Thinning,392.23619594237886,,,,,,,,,,,7,140.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
61,2016,0329,Treatment,Physical,"Removal, Mastication",34361.91590916981,,,,,,,,,,,2,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
62,2016,0329,Buffer,Physical,"Removal, Mastication",34361.91590916981,,,,,,,,,,,7,140.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
63,2016,0334,Treatment,Fire,"Extraction, Burning",17308.470918578794,,,,,,,,,,,4,80.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
64,2016,0334,Buffer,Fire,"Extraction, Burning",17308.470918578794,,,,,,,,,,,5,100.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
65,2016,0335,Treatment,Fire,"Extraction, Burning",459.7797155796849,,,,,,,,,,,3,60.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
66,2016,0335,Buffer,Fire,"Extraction, Burning",459.7797155796849,,,,,,,,,,,6,120.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
67,2016,0340,Treatment,Fire,Fire For Multiple Benefits,213263.51447145548,,,,,,,,,,,2,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
68,2016,0340,Buffer,Fire,Fire For Multiple Benefits,213263.51447145548,,,,,,,,,,,7,140.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
69,2016,0363,Treatment,Physical,Pre-Commercial And Commercial Thinning,868799.3273724247,,,,,,,,,,,4,80.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
70,2016,0363,Buffer,Physical,Pre-Commercial And Commercial Thinning,868799.3273724247,,,,,,,,,,,5,100.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
71,2016,0372,Treatment,Physical,Lop And Scatter With Some Piling,398705.01876481296,,,,,,,,,,,16,320.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
72,2016,0372,Buffer,Physical,Lop And Scatter With Some Piling,398705.01876481296,,,,,,,,,,,13,254.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0
73,2016,0399,Treatment,Physical,"Hand Thin, Mastication",5341.124536916817,,,,,,,,,,,8,160.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
74,2016,0399,Buffer,Physical,"Hand Thin, Mastication",5341.124536916817,,,,,,,,,,,9,179.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
75,2016,0400,Treatment,Physical,Thin Lop And Scatter,40780.950566352985,,,,,,,,,,,7,137.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
76,2016,0400,Buffer,Physical,Thin Lop And Scatter,40780.950566352985,,,,,,,,,,,10,200.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
77,2016,0407,Treatment,Physical,Thin Skid Deck,55317.12597317444,,,,,,,,,,,3,60.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
78,2016,0407,Buffer,Physical,Thin Skid Deck,55317.12597317444,,,,,,,,,,,7,140.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
79,2016,0409,Treatment,Physical,Thin And Pile,61331.437077672505,,,,,,,,,,,2,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
80,2016,0409,Buffer,Physical,Thin And Pile,61331.437077672505,,,,,,,,,,,6,120.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
81,2015,0420,Treatment,Physical,Mastication Thinning Clumping,34744.052284503654,,,,,,,,,,,2,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
82,2015,0420,Buffer,Physical,Mastication Thinning Clumping,34744.052284503654,,,,,,,,,,,5,100.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
83,2015,0421,Treatment,Physical,Mastication Meadow Restoration,94353.2673128624,,,,,,,,,,,1,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
84,2015,0421,Buffer,Physical,Mastication Meadow Restoration,94353.2673128624,,,,,,,,,,,6,120.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
85,2015,0427,Treatment,needs input,"Planned Fuel Break, Lop And Scatter",16812.79243756414,,,,,,,,,,,4,80.0,,0.0,,0.0,,0.0,,20.0,
86,2015,0427,Buffer,needs input,"Planned Fuel Break, Lop And Scatter",16812.79243756414,,,,,,,,,,,8,160.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
87,2015,0443,Treatment,Physical,Timber Sale,120987.32289687917,,,,,,,,,,,2,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0
88,2015,0443,Buffer,Physical,Timber Sale,120987.32289687917,,,,,,,,,,,5,100.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
89,2015,0466,Treatment,Physical,Thinning,4080.078204940248,,,,,,,,,,,3,60.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
90,2015,0466,Buffer,Physical,Thinning,4080.078204940248,,,,,,,,,,,6,,96.0,,0.0,,0.0,,0.0,,16.0
91,2015,0469,Treatment,Physical,Thinning,2836.775078373679,,,,,,,,,,,1,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
92,2015,0469,Buffer,Physical,Thinning,2836.775078373679,,,,,,,,,,,6,120.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
93,2015,0471,Treatment,Physical,Thinning,7681.702622004109,,,,,,,,,,,1,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
94,2015,0471,Buffer,Physical,Thinning,7681.702622004109,,,,,,,,,,,7,140.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
95,2015,0476,Treatment,Physical,Thinning,66494.96169705666,,,,,,,,,,,1,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
96,2015,0476,Buffer,Physical,Thinning,66494.96169705666,,,,,,,,,,,5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
97,2016,0499,Treatment,Physical,Removal And Mastication,14778.030211106396,,,,,,,,,,,4,80.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
98,2016,0499,Buffer,Physical,Removal And Mastication,14778.030211106396,,,,,,,,,,,6,120.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
99,2016,0500,Treatment,Physical,Removal Mastication,30895.68236086399,,,,,,,,,,,2,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
100,2016,0500,Buffer,Physical,Removal Mastication,30895.68236086399,,,,,,,,,,,12,232.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
101,2016,0514,Treatment,Physical,"Hand Thin, Chip",40785.33472548561,,,,,,,,,,,1,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
102,2016,0514,Buffer,Physical,"Hand Thin, Chip",40785.33472548561,,,,,,,,,,,6,120.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
103,2016,0525,Treatment,Physical,"Thinnig, Lop And Scatter, Piling",40792.59133559464,,,,,,,,,,,8,154.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
104,2016,0525,Buffer,Physical,"Thinnig, Lop And Scatter, Piling",40792.59133559464,,,,,,,,,,,6,119.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
105,2016,0534,Treatment,Physical,"Thinnig, Lop And Scatter, Piling",184640.8447974801,,,,,,,,,,,1,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
106,2016,0534,Buffer,Physical,"Thinnig, Lop And Scatter, Piling",184640.8447974801,,,,,,,,,,,7,140.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
107,2016,0535,Treatment,Physical,"Thinnig, Lop And Scatter, Piling",74329.88113879906,,,,,,,,,,,2,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
108,2016,0535,Buffer,Physical,"Thinnig, Lop And Scatter, Piling",74329.88113879906,,,,,,,,,,,7,140.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
109,2016,0541,Treatment,Physical,"Thinnig, Lop And Scatter, Piling",169.74194360311097,,,,,,,,,,,4,80.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
110,2016,0541,Buffer,Physical,"Thinnig, Lop And Scatter, Piling",169.74194360311097,,,,,,,,,,,6,120.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
111,2016,0550,Treatment,Physical,"Hand Thin, Mastication",6405.143657248959,,,,,,,,,,,3,60.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
112,2016,0550,Buffer,Physical,"Hand Thin, Mastication",6405.143657248959,,,,,,,,,,,7,140.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
113,2016,0554,Treatment,Physical,"Hand Thin, Masticate",3057.87480721409,,,,,,,,,,,2,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
114,2016,0554,Buffer,Physical,"Hand Thin, Masticate",3057.87480721409,,,,,,,,,,,7,140.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
115,2016,0555,Treatment,Physical,"Hand Thin, Mastication",6150.888083194385,,,,,,,,,,,1,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
116,2016,0555,Buffer,Physical,"Hand Thin, Mastication",6150.888083194385,,,,,,,,,,,5,100.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
117,2016,0558,Treatment,Physical,"Cut And Chip, Haz Fuels",12497.227347942648,,,,,,,,,,,1,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
118,2016,0558,Buffer,Physical,"Cut And Chip, Haz Fuels",12497.227347942648,,,,,,,,,,,0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
119,2016,0564,Treatment,Physical,"Fuelbreak, Chip Slash",3654.7048177904144,,,,,,,,,,,1,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
120,2016,0564,Buffer,Physical,"Fuelbreak, Chip Slash",3654.7048177904144,,,,,,,,,,,2,109.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
121,2016,0566,Treatment,Physical,"Thin, Chip Slash",1591.4435241446613,,,,,,,,,,,0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
122,2016,0566,Buffer,Physical,"Thin, Chip Slash",1591.4435241446613,,,,,,,,,,,2,92.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
123,2016,0573,Treatment,Physical,Thin And Chip Slash,7982.301854637418,,,,,,,,,,,2,58.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
124,2016,0573,Buffer,Physical,Thin And Chip Slash,7982.301854637418,,,,,,,,,,,0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
125,2016,0576,Treatment,Physical,Thin And Chip Slash,2888.5317499283883,,,,,,,,,,,0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
126,2016,0576,Buffer,Physical,Thin And Chip Slash,2888.5317499283883,,,,,,,,,,,0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
127,2016,0580,Treatment,Physical,Thin Chip Slash,3202.6253484152103,,,,,,,,,,,0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
128,2016,0580,Buffer,Physical,Thin Chip Slash,3202.6253484152103,,,,,,,,,,,5,100.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
129,2016,0591,Treatment,Physical,"Thin To 60 Or Less, Lop And Scatter",11370.349359883656,,,,,,,,,,,0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
130,2016,0591,Buffer,Physical,"Thin To 60 Or Less, Lop And Scatter",11370.349359883656,,,,,,,,,,,5,100.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
131,2016,0611,Treatment,Physical,Mastication To A Diameter Limit,45369.14901009968,,,,,,,,,,,1,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
132,2016,0611,Buffer,Physical,Mastication To A Diameter Limit,45369.14901009968,,,,,,,,,,,5,100.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
133,2016,0613,Treatment,Physical,Thin Lop And Scatter Remove Firewood To Road,95054.15620178882,,,,,,,,,,,2,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
134,2016,0613,Buffer,Physical,Thin Lop And Scatter Remove Firewood To Road,95054.15620178882,,,,,,,,,,,6,120.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
135,2016,0660,Treatment,Physical,"Heavy Thin, Pile Slash",14212.083430438526,,,,,,,,,,,1,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
136,2016,0660,Buffer,Physical,"Heavy Thin, Pile Slash",14212.083430438526,,,,,,,,,,,6,120.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
137,2016,0671,Treatment,Physical,"Thin, Chip",33582.8960249262,,,,,,,,,,,2,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
138,2016,0671,Buffer,Physical,"Thin, Chip",33582.8960249262,,,,,,,,,,,8,160.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
139,2016,0675,Treatment,Physical,"Medium Thin, Pile Slash",9822.364400714465,,,,,,,,,,,2,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
140,2016,0675,Buffer,Physical,"Medium Thin, Pile Slash",9822.364400714465,,,,,,,,,,,7,135.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
141,2016,0693,Treatment,Physical,"Thin, Haul Slash",38431.09489947563,,,,,,,,,,,4,80.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
142,2016,0693,Buffer,Physical,"Thin, Haul Slash",38431.09489947563,,,,,,,,,,,2,86.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
143,2016,0701,Treatment,Physical,"Thin, Haul Slash",21185.29561033909,,,,,,,,,,,4,78.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
144,2016,0701,Buffer,Physical,"Thin, Haul Slash",21185.29561033909,,,,,,,,,,,2,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
145,2016,0705,Treatment,Physical,"Thin, Pile",32634.42543457684,,,,,,,,,,,0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
146,2016,0705,Buffer,Physical,"Thin, Pile",32634.42543457684,,,,,,,,,,,4,134.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
147,2016,0706,Treatment,Physical,"Thin, Pile",53443.02229321256,,,,,,,,,,,0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
148,2016,0706,Buffer,Physical,"Thin, Pile",53443.02229321256,,,,,,,,,,,4,98.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
149,2016,0710,Treatment,Physical,"Thin, Pile",4342.821182692467,,,,,,,,,,,1,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
150,2016,0710,Buffer,Physical,"Thin, Pile",4342.821182692467,,,,,,,,,,,6,120.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
151,2016,0713,Treatment,Physical,"Thin, Pile",8413.760312486289,,,,,,,,,,,1,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
152,2016,0713,Buffer,Physical,"Thin, Pile",8413.760312486289,,,,,,,,,,,5,96.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
153,2016,0762,Treatment,Physical,"Medium Thin, Pile Slash",4254.876338106733,,,,,,,,,,,2,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
154,2016,0762,Buffer,Physical,"Medium Thin, Pile Slash",4254.876338106733,,,,,,,,,,,5,100.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
